Food group,Variable,Value,Commodity
Vegetables: potatoes (cup) - Total population - Adults age 20–64,Away from home-Restaurant-2017–18,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Seniors age 65 and above,Away from home-Restaurant-2017–18,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2017–18,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2017–18,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2017–18,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population,Away from home-Restaurant-2017–18,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Children age 2–19,Away from home-Restaurant-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Adults age 20–64,Away from home-Restaurant-2017–18,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Seniors age 65 and above,Away from home-Restaurant-2017–18,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2017–18,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2017–18,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2017–18,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population,Away from home-Restaurant-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Children age 2–19,Away from home-Restaurant-2017–18,0,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Adults age 20–64,Away from home-Restaurant-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Seniors age 65 and above,Away from home-Restaurant-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population,Away from home-Restaurant-2017–18,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Children age 2–19,Away from home-Restaurant-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Adults age 20–64,Away from home-Restaurant-2017–18,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Seniors age 65 and above,Away from home-Restaurant-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2017–18,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population,Away from home-Restaurant-2017–18,0.54,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Children age 2–19,Away from home-Restaurant-2017–18,0.28,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Adults age 20–64,Away from home-Restaurant-2017–18,0.65,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Seniors age 65 and above,Away from home-Restaurant-2017–18,0.51,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2017–18,0.38,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2017–18,0.41,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2017–18,0.74,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population,Away from home-Restaurant-2017–18,0.52,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Children age 2–19,Away from home-Restaurant-2017–18,0.27,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Adults age 20–64,Away from home-Restaurant-2017–18,0.62,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Seniors age 65 and above,Away from home-Restaurant-2017–18,0.48,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2017–18,0.35,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2017–18,0.41,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2017–18,0.71,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population,Away from home-Restaurant-2017–18,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Children age 2–19,Away from home-Restaurant-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Adults age 20–64,Away from home-Restaurant-2017–18,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Seniors age 65 and above,Away from home-Restaurant-2017–18,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2017–18,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2017–18,0,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2017–18,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population,Away from home-Restaurant-2017–18,0.67,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Children age 2–19,Away from home-Restaurant-2017–18,0.29,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Adults age 20–64,Away from home-Restaurant-2017–18,0.8,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Seniors age 65 and above,Away from home-Restaurant-2017–18,0.73,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2017–18,0.48,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2017–18,0.52,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2017–18,0.9,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population,Away from home-Fast food-2017–18,2.53,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Children age 2–19,Away from home-Fast food-2017–18,2.66,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Adults age 20–64,Away from home-Fast food-2017–18,2.89,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Seniors age 65 and above,Away from home-Fast food-2017–18,0.93,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income < 185% poverty line,Away from home-Fast food-2017–18,2.42,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2017–18,2.55,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income > 300% poverty line,Away from home-Fast food-2017–18,2.63,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population,Away from home-Fast food-2017–18,6.66,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Children age 2–19,Away from home-Fast food-2017–18,6,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Adults age 20–64,Away from home-Fast food-2017–18,7.79,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Seniors age 65 and above,Away from home-Fast food-2017–18,3.3,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income < 185% poverty line,Away from home-Fast food-2017–18,6.34,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2017–18,6.82,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income > 300% poverty line,Away from home-Fast food-2017–18,6.9,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population,Away from home-Fast food-2017–18,6.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Children age 2–19,Away from home-Fast food-2017–18,5.74,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Adults age 20–64,Away from home-Fast food-2017–18,7.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Seniors age 65 and above,Away from home-Fast food-2017–18,2.59,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income < 185% poverty line,Away from home-Fast food-2017–18,6.31,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2017–18,5.92,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income > 300% poverty line,Away from home-Fast food-2017–18,5.79,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population,Away from home-Fast food-2017–18,0.26,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Children age 2–19,Away from home-Fast food-2017–18,0.27,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Adults age 20–64,Away from home-Fast food-2017–18,0.3,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Seniors age 65 and above,Away from home-Fast food-2017–18,0.09,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income < 185% poverty line,Away from home-Fast food-2017–18,0.25,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2017–18,0.23,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income > 300% poverty line,Away from home-Fast food-2017–18,0.28,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population,Away from home-Fast food-2017–18,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Children age 2–19,Away from home-Fast food-2017–18,0.06,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Adults age 20–64,Away from home-Fast food-2017–18,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Seniors age 65 and above,Away from home-Fast food-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income < 185% poverty line,Away from home-Fast food-2017–18,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2017–18,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income > 300% poverty line,Away from home-Fast food-2017–18,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population,Away from home-Fast food-2017–18,0.23,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Children age 2–19,Away from home-Fast food-2017–18,0.18,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Adults age 20–64,Away from home-Fast food-2017–18,0.28,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Seniors age 65 and above,Away from home-Fast food-2017–18,0.11,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income < 185% poverty line,Away from home-Fast food-2017–18,0.22,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2017–18,0.21,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income > 300% poverty line,Away from home-Fast food-2017–18,0.23,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population,Away from home-Fast food-2017–18,0.07,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Children age 2–19,Away from home-Fast food-2017–18,0.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Adults age 20–64,Away from home-Fast food-2017–18,0.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Seniors age 65 and above,Away from home-Fast food-2017–18,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income < 185% poverty line,Away from home-Fast food-2017–18,0.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2017–18,0.07,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income > 300% poverty line,Away from home-Fast food-2017–18,0.07,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population,Away from home-Fast food-2017–18,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Children age 2–19,Away from home-Fast food-2017–18,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Adults age 20–64,Away from home-Fast food-2017–18,0.06,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Seniors age 65 and above,Away from home-Fast food-2017–18,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income < 185% poverty line,Away from home-Fast food-2017–18,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2017–18,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income > 300% poverty line,Away from home-Fast food-2017–18,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population,Away from home-Fast food-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Children age 2–19,Away from home-Fast food-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Adults age 20–64,Away from home-Fast food-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Seniors age 65 and above,Away from home-Fast food-2017–18,0,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income < 185% poverty line,Away from home-Fast food-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income > 300% poverty line,Away from home-Fast food-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population,Away from home-Fast food-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Children age 2–19,Away from home-Fast food-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Adults age 20–64,Away from home-Fast food-2017–18,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Seniors age 65 and above,Away from home-Fast food-2017–18,0,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income < 185% poverty line,Away from home-Fast food-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income > 300% poverty line,Away from home-Fast food-2017–18,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population,Away from home-Fast food-2017–18,1.32,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Children age 2–19,Away from home-Fast food-2017–18,1.2,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Adults age 20–64,Away from home-Fast food-2017–18,1.55,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Seniors age 65 and above,Away from home-Fast food-2017–18,0.59,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income < 185% poverty line,Away from home-Fast food-2017–18,1.3,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2017–18,1.29,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income > 300% poverty line,Away from home-Fast food-2017–18,1.34,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population,Away from home-Fast food-2017–18,1.28,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Children age 2–19,Away from home-Fast food-2017–18,1.16,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Adults age 20–64,Away from home-Fast food-2017–18,1.5,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Seniors age 65 and above,Away from home-Fast food-2017–18,0.58,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income < 185% poverty line,Away from home-Fast food-2017–18,1.27,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2017–18,1.26,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income > 300% poverty line,Away from home-Fast food-2017–18,1.29,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population,Away from home-Fast food-2017–18,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Children age 2–19,Away from home-Fast food-2017–18,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Adults age 20–64,Away from home-Fast food-2017–18,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Seniors age 65 and above,Away from home-Fast food-2017–18,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income < 185% poverty line,Away from home-Fast food-2017–18,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2017–18,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income > 300% poverty line,Away from home-Fast food-2017–18,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population,Away from home-Fast food-2017–18,0.97,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Children age 2–19,Away from home-Fast food-2017–18,0.78,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Adults age 20–64,Away from home-Fast food-2017–18,1.18,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Seniors age 65 and above,Away from home-Fast food-2017–18,0.48,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income < 185% poverty line,Away from home-Fast food-2017–18,1.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2017–18,0.99,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income > 300% poverty line,Away from home-Fast food-2017–18,0.93,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population,Away from home-School-2017–18,0.17,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Children age 2–19,Away from home-School-2017–18,0.73,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Adults age 20–64,Away from home-School-2017–18, ,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Seniors age 65 and above,Away from home-School-2017–18, ,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income < 185% poverty line,Away from home-School-2017–18,0.24,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income 185–300% poverty line,Away from home-School-2017–18,0.22,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income > 300% poverty line,Away from home-School-2017–18,0.09,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population,Away from home-School-2017–18,0.45,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Children age 2–19,Away from home-School-2017–18,1.88,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Adults age 20–64,Away from home-School-2017–18, ,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Seniors age 65 and above,Away from home-School-2017–18,,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income < 185% poverty line,Away from home-School-2017–18,0.67,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income 185–300% poverty line,Away from home-School-2017–18,0.58,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income > 300% poverty line,Away from home-School-2017–18,0.19,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population,Away from home-School-2017–18,0.29,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Children age 2–19,Away from home-School-2017–18,1.22,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Adults age 20–64,Away from home-School-2017–18, ,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Seniors age 65 and above,Away from home-School-2017–18, ,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income < 185% poverty line,Away from home-School-2017–18,0.41,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income 185–300% poverty line,Away from home-School-2017–18,0.33,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income > 300% poverty line,Away from home-School-2017–18,0.16,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
